founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2006,0,1,2438,526,1,4837641,81,4837641,4,0,0,5965000,1912,478,1491250,1,CA,01.01.2006,software,1,7
2005,0,1,1486,304,1,8493689,76,8493689,3,0,0,11035000,1182,394,3678333,0,MA,01.01.2005,software,1,3
2008,1,3,1267,131,0,3387449,84,120088603,5,676,225,142000000,1136,227,28400000,1,CA,10.09.2008,enterprise,5,38
2007,1,3,1059,290,0,1079154,60,1670846,2,1268,422,2750000,769,384,1375000,1,CA,15.01.2007,web,4,11
2001,1,1,3459,1114,1,15995009,48,15995009,5,0,0,33000000,2345,469,6600000,1,MA,01.01.2001,mobile,2,4
2000,0,1,2683,2364,1,39011203,90,39011203,2,0,0,43000000,319,159,21500000,0,CA,01.01.2000,software,1,2
2007,1,2,925,925,1,7800000,100,7800000,1,1935,967,7800000,0,0,7800000,1,CA,01.01.2007,software,2,3
2006,0,4,1456,243,0,2815389,46,5088025,3,834,208,11015719,1213,404,3671906,0,CA,01.02.2006,mobile,1,27
2006,0,4,426,426,1,3000000,100,3000000,1,762,190,3000000,0,0,3000000,1,CA,01.10.2006,advertising,2,19
2005,0,3,2739,59,1,117818164,96,117818164,7,572,190,121500000,2680,382,17357142,1,MA,01.01.2005,mobile,4,45
2006,0,2,1013,334,0,701070,92,8798930,2,235,117,9500000,679,339,4750000,1,CA,01.01.2006,ecommerce,2,6
2008,1,3,958,958,1,48000000,100,48000000,1,521,173,48000000,0,0,48000000,0,TX,01.01.2008,cleantech,1,1
2006,0,5,1753,0,1,13290701,40,13290701,4,1422,284,33000000,1753,438,8250000,1,GA,01.05.2006,enterprise,3,26
2010,0,2,886,0,1,6780126,75,6780126,2,26,13,9030000,886,443,4515000,0,NY,01.01.2010,web,4,8
2001,1,1,2048,1540,0,8865677,55,11134323,2,0,0,20000000,508,254,10000000,1,CA,01.01.2001,software,4,9
2000,0,2,2060,2060,1,12700000,100,12700000,1,1213,606,12700000,0,0,12700000,1,MA,01.01.2000,public_relations,4,9
2005,0,4,547,427,0,1496642,68,3203358,2,1935,483,4700000,120,60,2350000,0,CA,01.12.2005,web,1,3
2000,0,1,3649,1871,1,32074728,79,32074728,4,0,0,40100000,1778,444,10025000,1,CA,01.01.2000,enterprise,4,9
2010,0,2,707,406,1,2372700,57,2372700,2,406,203,4100000,301,150,2050000,1,TX,01.06.2010,enterprise,1,3
2003,0,2,3401,1127,0,5257223,60,38956777,3,3298,1649,64000000,2274,758,21333333,1,CA,01.01.2003,semiconductor,3,5
2006,0,3,2292,244,1,77513569,96,77513569,5,1699,566,80000000,2048,409,16000000,1,CA,01.04.2006,network_hosting,2,16
2007,1,2,1544,260,1,5166300,65,5166300,3,142,71,7900000,1284,428,2633333,1,MA,01.01.2007,advertising,2,8
2005,0,4,2148,242,0,1546151,54,38038886,5,875,218,70000000,1906,381,14000000,1,CA,01.02.2005,web,2,29
2009,1,2,104,104,1,1200000,100,1200000,1,104,52,1200000,0,0,1200000,0,OH,01.07.2009,advertising,4,2
2005,0,4,1471,65,1,6042894,48,6042894,3,1303,325,12400000,1406,468,4133333,1,CA,01.05.2005,web,1,6
2006,0,3,212,212,1,750000,100,750000,1,1582,527,750000,0,0,750000,1,VA,01.11.2006,search,2,5
2009,1,2,549,0,1,936266,66,936266,2,581,290,1400000,549,274,700000,1,NY,01.08.2009,travel,6,7
2006,0,2,2356,365,0,29234981,44,48163020,4,172,86,108900000,1991,497,27225000,1,CA,01.01.2006,cleantech,7,28
1997,0,1,5465,2928,1,152485902,93,152485902,7,0,0,162264126,2537,362,23180589,0,NC,01.01.1997,biotech,6,4
